CourseID,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
ECE57000,0.0,158.0,0.0,0.0,40.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,6.0
ECE57300,3.0,12.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
ECE59500,32.0,88.0,31.0,10.0,17.0,11.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0
ECE60000,3.0,11.0,14.0,12.0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
ECE60200,2.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE60400,8.0,8.0,8.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ECE60422,4.0,6.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE60423,3.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ECE60424,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE60600,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
ECE60800,0.0,17.0,2.0,2.0,23.0,5.0,4.0,5.0,2.0,0.0,4.0,0.0,1.0
ECE61000,2.0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ECE61010,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ECE61016,5.0,2.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ECE61500,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE62900,11.0,6.0,6.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ECE64100,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE65600,1.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ECE66100,21.0,26.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
ECE67800,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE69300,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE69400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE69500,18.0,106.0,39.0,24.0,28.0,8.0,10.0,4.0,0.0,0.0,0.0,0.0,2.0
ECE69900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECET17700,0.0,7.0,0.0,3.0,8.0,3.0,3.0,6.0,1.0,3.0,0.0,0.0,2.0
ECET17900,0.0,16.0,0.0,2.0,16.0,3.0,9.0,5.0,5.0,0.0,1.0,4.0,9.0
ECET22400,0.0,51.0,0.0,0.0,35.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0
ECET22700,13.0,3.0,7.0,4.0,4.0,8.0,7.0,5.0,1.0,1.0,1.0,0.0,3.0
ECET22900,11.0,7.0,6.0,10.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
ECET27000,1.0,5.0,1.0,2.0,12.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0
ECET27400,0.0,10.0,2.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
ECET27700,0.0,4.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,2.0
ECET27900,0.0,22.0,0.0,3.0,9.0,9.0,5.0,3.0,4.0,0.0,7.0,0.0,4.0
ECET30201,4.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ECET32700,1.0,18.0,3.0,12.0,4.0,7.0,2.0,2.0,0.0,2.0,1.0,0.0,5.0
ECET33900,12.0,7.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECET34900,8.0,14.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ECET35901,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECET36900,0.0,13.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ECET37600,16.0,14.0,3.0,3.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ECET38001,19.0,25.0,0.0,5.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ECET38800,0.0,15.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
ECET49900,2.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ECON21000,3.0,36.0,15.0,20.0,44.0,31.0,3.0,68.0,10.0,4.0,20.0,1.0,21.0
ECON25100,161.0,271.0,106.0,89.0,240.0,86.0,65.0,144.0,62.0,23.0,55.0,23.0,74.0
ECON25200,62.0,137.0,51.0,67.0,122.0,65.0,68.0,85.0,32.0,29.0,41.0,9.0,53.0
ECON26000,18.0,19.0,8.0,9.0,15.0,7.0,5.0,6.0,2.0,2.0,2.0,4.0,12.0
ECON29000,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON30100,3.0,34.0,13.0,10.0,75.0,8.0,12.0,48.0,11.0,0.0,18.0,0.0,3.0
ECON32200,4.0,9.0,12.0,11.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
ECON34000,11.0,27.0,27.0,14.0,21.0,10.0,6.0,10.0,14.0,3.0,5.0,3.0,5.0
ECON35200,18.0,24.0,24.0,21.0,18.0,7.0,7.0,8.0,0.0,0.0,1.0,0.0,3.0
ECON36000,2.0,21.0,9.0,1.0,11.0,6.0,3.0,2.0,2.0,1.0,2.0,2.0,5.0
ECON36200,5.0,8.0,15.0,9.0,8.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0
ECON37000,4.0,25.0,6.0,8.0,50.0,3.0,4.0,20.0,0.0,0.0,1.0,1.0,5.0
ECON37300,1.0,11.0,8.0,8.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
ECON38000,0.0,15.0,9.0,14.0,54.0,9.0,6.0,31.0,2.0,0.0,16.0,0.0,1.0
ECON45100,2.0,12.0,29.0,27.0,22.0,27.0,8.0,10.0,9.0,0.0,6.0,0.0,4.0
ECON45600,2.0,2.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ECON46100,31.0,15.0,6.0,9.0,10.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0
ECON47100,5.0,16.0,15.0,15.0,15.0,7.0,9.0,4.0,6.0,1.0,0.0,0.0,0.0
ECON49000,1.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON51100,1.0,7.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON57600,1.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ECON60600,2.0,9.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON60700,2.0,2.0,4.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ECON60800,1.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON61500,2.0,5.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON65000,0.0,8.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON65500,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON66800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON67000,2.0,4.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECON67100,2.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI20002,0.0,48.0,9.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EDCI20500,46.0,19.0,30.0,10.0,9.0,5.0,2.0,6.0,0.0,1.0,2.0,0.0,4.0
EDCI21000,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EDCI21510,12.0,13.0,22.0,8.0,14.0,14.0,3.0,4.0,3.0,1.0,1.0,0.0,2.0
EDCI21910,4.0,5.0,0.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
EDCI22200,3.0,16.0,10.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI27000,0.0,27.0,8.0,3.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
EDCI28500,89.0,27.0,16.0,10.0,5.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
